DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2010,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2011,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2012,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2013,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2014,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2015,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2016,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2017,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2018,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2019,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2020,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2021,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2022,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2023,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2024,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2005,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2006,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2007,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2008,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2009,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2010,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2011,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2012,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2013,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2014,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2015,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2016,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2017,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2018,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2019,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2020,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2021,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2022,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2023,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IT,2024,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2005,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2006,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2007,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2008,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2009,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2010,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2011,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2012,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2013,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2014,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2015,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2016,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2017,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2018,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2019,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2020,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2021,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2022,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2023,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LT,2024,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2005,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2006,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2007,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2008,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2009,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2010,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2011,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2012,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2013,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2014,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2015,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2016,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2017,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2018,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2019,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2020,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2021,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2022,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2023,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LU,2024,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LV,2005,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LV,2006,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LV,2007,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LV,2008,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LV,2009,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LV,2010,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LV,2011,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LV,2012,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,LV,2013,,m,
